Company Name,Rating,Job Title,Location
Team Gesundheit - Gesellschaft für Gesundheitsmanagement mbH,3.4,Data Analyst (m/w/d),Germany
Hoffmann Group,3.5,Senior BI Analyst (m/w/d),Munich
Chrono24 GmbH,3.3,Data Analyst (all genders),Karlsruhe
Onlineprinters GmbH,2.1,Datenanalyst / Data Analyst (m/w/d),Fürth
Hoffmann Group,3.5,BI Analyst (m/w/d),Munich
Stuttgarter Lebensversicherung a.G.,4.2,Business Analyst / Fachexperte (m/w/d) Lebens-/Rentenversicherung Stuttgart,Baden-Wurttemberg
FERCHAU GmbH,3.4,Data Analyst bei Siemens (m/w/d),Nuremberg
RWE Supply & Trading,4.3,Working Student (m/f/t) Commodity Flow Desk Data Analyst,Essen
Statista GmbH,3.6,Junior Power BI Data Analyst (m/f/d),Hamburg
rhenag Rheinische Energie AG,3.5,Data Analyst (m/w/d),Siegburg
STILL Gesellschaft mit beschränkter Haftung,4.0,Data Analyst (m/w/d) im Bereich Finanzen/Controlling,Hamburg
Heimstaden Germany GmbH,4.3,Data Analyst (m/w/d) in Real Estate Company,Germany
Groß Business Group GmbH,4.3,Consultant Datamanagement & Data Analyst (m/w/d),Straubing
RWE Supply & Trading GmbH,3.5,(Senior) Controlling Data Scientist & Analyst m/f/t,North Rhine-Westphalia
Dr. Ausbüttel & Co. GmbH,3.9,Data Engineer KI (m/w/d),Dortmund
Zentrale Münster,1.0,Business Analyst (w/m/d),Münster
Light Mobility Solutions GmbH,4.2,Junior Data Analyst Einkauf (m/w/d),Obertshausen
CHEFS CULINAR,4.0,Business Analyst Reporting,Hamburg
Excellence AG | GreenTech Engineering,4.1,Data Analyst (m/w/d),Bayreuth
Helvetia Versicherungen,4.5,Aktuar Pricing / Acutarial Data Analyst (m/w/d),Frankfurt am Main
Goodman Masson GmbH,3.9,Data Analyst - Power BI (m/w/d),Düsseldorf
Mabanaft GmbH & Co. KG,4.2,Senior Data Solution Engineers (m/f/d),Berlin
Siemens AG,3.9,Data Analyst (f/m/d) Business Intelligence,Mannheim
Stadtwerke München GmbH,4.0,Data Analyst Endkund*innen Vertrieb (m/w/d),Munich
Pixum - Diginet GmbH & Co. KG,3.9,Marketing Analyst:in,Köln
CBRE,3.4,Data Analyst (m/w/d),Hamburg
Zander Labs,3.8,Junior biosignal data analyst,Munich
FERCHAU GmbH,2.6,Data Architekt (m/w/d),Karlsruhe
Estée Lauder Companies,3.9,Business Controller / Senior FP&A Analyst (m/w/d),Munich
von Poll Immobilien GmbH,3.7,Data Analyst (w/m/d) – Data Visualization (Tableau),Frankfurt am Main
Essity,3.6,Data Scientist,Munich
Schülerhilfe GmbH & Co. KG,4.5,Digital Data Analyst (m/w/d),Gelsenkirchen
trivago,3.7,Data Analyst - Data Intelligence,Düsseldorf
Michael Page,3.5,Performance Data Analyst (m/w/d),Hamburg
Bergfreunde GmbH,1.0,Junior Data Analyst Einkauf (m/w/d),Kirchentellinsfurt
Advanced Blockchain AG,3.5,"Data Analyst - Working Student (m/f/d, 100%)",Home office
Autohaus Royal GmbH,4.2,"Senior Controller, Financial Controlling (m/w/d)",Berlin
denkwerk GmbH,5.0,Senior Data Analyst / Online Marketing (m/w/d),Köln
Siemens AG,4.0,Market and Data Analyst (w/m/d) SCM Market Intelligence,Munich
FIRENHOFF HR CONSULTING,4.5,Financial Analyst (m/w/d),Stuttgart
ANDREAS STIHL AG & Co. KG,3.7,Praktikum Data Analytics,Stuttgart
Good Hood GmbH,4.1,Data Analyst (f/m/d),Germany
Amazon TA,3.7,"Tax Analyst I - EU VAT 3P, 3P VAT OPS",Munich
Intelehealth,3.9,Data Analyst,Bavaria
LBBW,3.5,HR Business Analyst Data Management (m/w/d) - Senior Professional,Stuttgart
Haiilo GmbH,3.4,Data Analyst,Hamburg
Deutsche Apotheker- und Ärztebank eG,4.0,Data Analyst (m/w/d),Düsseldorf
FERCHAU GmbH,3.0,Data Enthusiast (m/w/d),Stuttgart
STAFFXPERTS GmbH,4.1,Data Scientist (m/w/d) Machine Learning,Karlsruhe
zvoove Group GmbH,4.2,Working Student Data Analyst (m/f/d),Home office
Birkenstock Group B.V. & Co. KG,3.6,Data Analyst (m/f/d),Munich
